................................                                         [100%]
============================= slowest 25 durations =============================
19.60s call     Tests/UI/test_component_pattern_governance.py::test_canonical_classes_defined_only_in_owning_sheet
19.06s call     Tests/UI/test_component_pattern_governance.py::test_python_style_ratchet
4.44s call     Tests/UI/test_component_pattern_governance.py::test_deprecated_names_ratchet_down
2.83s call     Tests/UI/test_css_bundle_sync_guard.py::test_committed_bundle_reproduces_from_sources
2.01s call     Tests/UI/test_design_token_governance.py::test_section_header_preserves_global_and_stats_computed_geometry
1.74s call     Tests/UI/test_component_pattern_governance.py::test_no_new_local_ds_fallbacks
1.74s call     Tests/UI/test_component_pattern_governance.py::test_dimension_literal_ratchet
1.67s call     Tests/UI/test_design_token_governance.py::test_hex_ratchet_ignores_comments
1.59s call     Tests/UI/test_design_token_governance.py::test_active_css_extension_is_in_hex_floor
1.57s call     Tests/Performance/test_boot_css_byte_budget.py::test_boot_parsed_css_bytes_stay_within_budget
1.57s call     Tests/UI/test_css_bundle_sync_guard.py::test_generated_widget_and_screen_sheets_end_with_one_newline
1.57s call     Tests/UI/test_css_bundle_sync_guard.py::test_drifted_modules_names_the_changed_module
1.56s call     Tests/UI/test_css_bundle_sync_guard.py::test_generated_widget_and_screen_sheets_have_no_trailing_whitespace
1.55s call     Tests/UI/test_component_pattern_governance.py::test_active_css_extension_is_in_dimension_floor
1.53s call     Tests/UI/test_design_token_governance.py::test_new_sheets_must_use_spacing_tokens
1.53s call     Tests/UI/test_component_pattern_governance.py::test_pin_rejects_active_css_extension_without_writing_baseline
1.51s call     Tests/UI/test_css_bundle_sync_guard.py::test_drifted_modules_ignores_the_generated_timestamp
1.50s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_and_pin_reject_every_numeric_slot[height: +.25;]
1.49s call     Tests/UI/test_design_token_governance.py::test_hex_literals_are_ratcheted_outside_token_definitions
1.48s call     Tests/UI/test_component_pattern_governance.py::test_catalog_and_gallery_sync
1.47s call     Tests/UI/test_design_token_governance.py::test_all_referenced_ds_tokens_are_defined
1.46s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_ignores_tokens_and_token_definitions
1.45s call     Tests/UI/test_design_token_governance.py::test_documented_design_vocabulary_is_available
1.45s call     Tests/UI/test_design_token_governance.py::test_defined_tokens_have_no_orphans_in_catalog
1.44s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_and_pin_reject_every_numeric_slot[width: -1.5;]
32 passed in 90.16s (0:01:30)
