# TASK-21593. One row per index name declared under tldw_chatbook/DB.
# Columns: <index name>\t<status>\t<note>.
#
# `plan-pinned`    a test names this index alongside EXPLAIN QUERY PLAN and a
#                  sqlite_stat1-absence assertion. This is the status new
#                  indexes should get.
# `pre-convention` predates TASK-21593's guard. No pin is demanded
#                  retroactively; the point is that the NEXT index cannot be
#                  added without someone choosing between these two words.
#
# Why this file exists at all: scripts/check_index_plan_pins.py, and the two
# measurements in its docstring where a textbook index was simply never
# chosen because no media DB has ever run ANALYZE.

idx_console_trace_surface_nodes_revision	plan-pinned	Tests/DB/test_chachanotes_v56_console_trace_query_plans.py
idx_console_trace_surface_nodes_segment_order	plan-pinned	Tests/DB/test_chachanotes_v56_console_trace_query_plans.py
idx_console_trace_surface_replacements_predecessor	plan-pinned	Tests/DB/test_chachanotes_v56_console_trace_query_plans.py
idx_conv_char	pre-convention	plan never captured without stats
idx_conversation_dictionaries_conv	pre-convention	plan never captured without stats
idx_conversation_dictionaries_dict	pre-convention	plan never captured without stats
idx_conversation_dictionary_attachments_dictionary	pre-convention	plan never captured without stats
idx_conversation_local_marks_type	pre-convention	plan never captured without stats
idx_conversation_world_books_book	pre-convention	plan never captured without stats
idx_conversation_world_books_conv	pre-convention	plan never captured without stats
idx_conversations_assistant_identity	pre-convention	plan never captured without stats
idx_conversations_discovery_entity	pre-convention	plan never captured without stats
idx_conversations_discovery_owner	pre-convention	plan never captured without stats
idx_conversations_parent	pre-convention	plan never captured without stats
idx_conversations_root	pre-convention	plan never captured without stats
idx_conversations_runtime_backend	pre-convention	plan never captured without stats
idx_conversations_scope_type	pre-convention	plan never captured without stats
idx_conversations_state	pre-convention	plan never captured without stats
idx_conversations_topic_label	pre-convention	plan never captured without stats
idx_conversations_workspace_id	pre-convention	plan never captured without stats
idx_document_versions_media_id	pre-convention	plan never captured without stats
idx_document_versions_version_number	pre-convention	plan never captured without stats
idx_documentversions_deleted	pre-convention	plan never captured without stats
idx_documentversions_last_modified	pre-convention	plan never captured without stats
idx_documentversions_merge_parent_uuid	pre-convention	plan never captured without stats
idx_documentversions_prev_version	pre-convention	plan never captured without stats
idx_documentversions_uuid	pre-convention	plan never captured without stats
idx_eval_results_run	pre-convention	plan never captured without stats
idx_eval_run_metrics_run	pre-convention	plan never captured without stats
idx_eval_runs_group	pre-convention	plan never captured without stats
idx_eval_runs_model	pre-convention	plan never captured without stats
idx_eval_runs_status	pre-convention	plan never captured without stats
idx_eval_runs_task	pre-convention	plan never captured without stats
idx_eval_tasks_deleted	pre-convention	plan never captured without stats
idx_eval_tasks_type	pre-convention	plan never captured without stats
idx_flashcard_templates_name	pre-convention	plan never captured without stats
idx_flashcards_deck_id	pre-convention	plan never captured without stats
idx_flashcards_next_review	pre-convention	plan never captured without stats
idx_indexed_items_indexed	pre-convention	plan never captured without stats
idx_indexed_items_modified	pre-convention	plan never captured without stats
idx_indexed_items_type	pre-convention	plan never captured without stats
idx_kept_briefings_kept_at	pre-convention	plan never captured without stats
idx_kept_scripts_briefing	pre-convention	plan never captured without stats
idx_keywords_deleted	pre-convention	plan never captured without stats
