# Timestamp-writer census (ADR-173 / TASK-32803.1). Every row emits a
# shape other than the canonical YYYY-MM-DDTHH:MM:SS.mmmZ. Ratchet:
# counts only shrink as TASK-32901 adopts Utils/timestamps.py.
# Regenerate with: python scripts/check_timestamp_writers.py --write
# module	symbol	kind	count
tldw_chatbook/Library/library_ingest_jobs	LibraryIngestJobRegistry.mark_remote_done	offset_now_iso	1
tldw_chatbook/Library/library_ingest_jobs	LibraryIngestJobRegistry.mark_skipped	offset_now_iso	1
tldw_chatbook/Library/library_rechunk_service	_replace_chunk_rows	strftime_iso	1
tldw_chatbook/Library/library_rechunk_service	_restamp_auto_chunking_config	strftime_iso	1
tldw_chatbook/Local_Ingestion/local_file_ingestion	_persist_chunking_template_columns	strftime_iso	1
tldw_chatbook/MCP/execution_log	build_record	offset_now_iso	1
tldw_chatbook/MCP/local_control_service	LocalMCPControlService._record_runtime_activity	offset_now_iso	1
tldw_chatbook/MCP/local_runtime_delegate	LocalMCPRuntimeDelegate._tool_create_note	offset_now_iso	1
tldw_chatbook/MCP/local_runtime_delegate	LocalMCPRuntimeDelegate.get_status	offset_now_iso	1
tldw_chatbook/MCP/unified_control_plane_service	UnifiedMCPControlPlaneService._record_local_attempt	offset_now_iso	1
tldw_chatbook/Metrics/metrics_logger	_log_metric	offset_now_iso	1
tldw_chatbook/Notes/Notes_Library	NotesInteropService._ensure_folder_placement_review	offset_now_iso	2
tldw_chatbook/Notes/Notes_Library	NotesInteropService._ensure_save_folder	offset_now_iso	1
tldw_chatbook/Notes/Notes_Library	NotesInteropService._resolve_obsolete_placement_review	offset_now_iso	1
tldw_chatbook/Notes/file_notes_replica	_utc_now	offset_now_iso	1
tldw_chatbook/Notifications/client_notifications_db	ClientNotificationsDB._now_iso	offset_now_iso	1
tldw_chatbook/RAG_Search/eval/regression	RegressionDetector.check_regression	offset_now_iso	2
tldw_chatbook/RAG_Search/eval/regression	RegressionDetector.save_baseline	offset_now_iso	1
tldw_chatbook/Research_Workspace/local_adapter	_utc_now	offset_now_iso	1
tldw_chatbook/Research_Workspace/server_adapter	_utc_now	offset_now_iso	1
tldw_chatbook/Scheduling/db/scheduled_tasks_db	ScheduledTasksDB._append_sync_error	offset_now_iso	1
tldw_chatbook/Scheduling/services/sync_engine	now_utc_iso	offset_now_iso	1
tldw_chatbook/Skills_Interop/local_skills_service	LocalSkillsService._now_iso	offset_now_iso	1
tldw_chatbook/Skills_Interop/project_skills_prompt	ProjectSkillsPromptLedger.record	offset_now_iso	1
tldw_chatbook/Skills_Interop/skill_trust_service	_now_iso	offset_now_iso	1
tldw_chatbook/Subscriptions/briefing_service	_accept_briefing	offset_now_iso	1
tldw_chatbook/Subscriptions/local_watchlists_service	LocalWatchlistsService._utc_now	offset_now_iso	1
tldw_chatbook/Subscriptions/monitoring_engine	URLMonitor.check_url	offset_now_iso	1
tldw_chatbook/Subscriptions/startup_reconcile	fail_interrupted_watchlist_runs	offset_now_iso	1
